Transaccion_ID,Leche,Pan,Huevos,Mantequilla,Queso,Cafe,Azucar,Galletas,Jugo,Cereal
1,1,1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,1,0,0
3,1,1,1,1,0,0,0,1,0,0
4,1,1,1,1,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,0,1,0,0
7,1,1,0,1,0,0,0,0,0,1
8,1,1,0,0,0,1,0,0,0,0
9,1,1,0,1,0,1,0,0,1,0
10,1,1,0,0,0,0,0,0,0,1
11,1,1,0,0,0,0,0,1,0,0
12,1,1,0,1,0,0,0,0,0,0
13,1,1,1,0,0,0,0,0,0,0
14,0,0,1,0,0,1,0,0,0,0
15,0,1,0,1,0,0,1,0,0,0
16,1,1,0,0,0,0,0,0,0,1
17,1,1,1,0,0,0,0,0,0,1
18,1,1,0,1,0,1,0,1,0,0
19,1,1,0,1,0,0,0,0,1,1
20,1,1,0,0,1,0,0,0,0,0
21,0,0,0,1,1,0,0,0,0,0
22,0,0,0,1,1,0,0,1,0,0
23,1,1,0,1,1,0,1,0,0,1
24,1,1,0,0,0,0,0,0,0,0
25,1,1,0,1,1,0,1,1,0,0
26,1,1,0,0,0,0,0,0,0,0
27,1,1,0,0,0,0,0,0,1,0
28,0,1,0,0,0,0,1,0,0,0
29,1,1,0,1,0,0,0,1,0,1
30,1,1,0,1,0,0,0,0,0,0
31,1,1,1,1,0,0,0,0,0,1
32,1,1,0,0,0,0,1,1,0,1
33,0,1,0,0,0,0,0,0,0,0
34,1,1,0,0,0,0,0,1,0,0
35,0,0,1,0,0,0,0,1,1,0
36,0,1,0,0,0,0,0,0,0,0
37,1,1,0,0,1,0,1,0,0,1
38,1,1,0,0,0,0,0,0,0,0
39,1,1,0,0,0,0,1,0,0,1
40,1,1,0,0,1,0,0,0,0,0
41,0,1,0,0,0,0,0,1,0,0
42,1,1,1,1,0,0,0,1,0,0
43,1,1,0,0,0,0,0,0,1,0
44,1,1,1,0,0,0,0,0,0,0
