Proyecto_ID,Tamano_Equipo,Metodologia,Presupuesto,Experiencia_Lider,Exito_Proyecto
1,Grande,Hibrida,Medio,Media,No
2,Pequeño,Hibrida,Bajo,Media,Si
3,Grande,Hibrida,Bajo,Alta,No
4,Grande,Hibrida,Alto,Alta,Si
5,Pequeño,Agil,Bajo,Alta,Si
6,Pequeño,Hibrida,Alto,Media,Si
7,Grande,Cascada,Alto,Media,No
8,Mediano,Cascada,Medio,Media,Si
9,Grande,Hibrida,Medio,Alta,Si
10,Grande,Hibrida,Medio,Media,Si
11,Grande,Cascada,Alto,Baja,No
12,Grande,Cascada,Medio,Baja,No
13,Pequeño,Agil,Bajo,Media,Si
14,Grande,Cascada,Bajo,Baja,No
15,Mediano,Cascada,Alto,Baja,No
16,Pequeño,Hibrida,Alto,Alta,Si
17,Mediano,Cascada,Medio,Media,Si
18,Mediano,Agil,Alto,Media,No
19,Mediano,Cascada,Alto,Alta,Si
20,Mediano,Hibrida,Bajo,Baja,Si
21,Pequeño,Hibrida,Bajo,Baja,Si
22,Pequeño,Cascada,Medio,Media,Si
23,Mediano,Hibrida,Alto,Baja,Si
24,Mediano,Agil,Alto,Alta,Si
25,Pequeño,Agil,Bajo,Alta,Si
26,Pequeño,Cascada,Alto,Media,Si
27,Pequeño,Cascada,Bajo,Alta,No
28,Grande,Cascada,Medio,Alta,Si
29,Grande,Hibrida,Bajo,Media,Si
30,Grande,Agil,Alto,Alta,Si
31,Mediano,Agil,Medio,Alta,Si
32,Grande,Hibrida,Bajo,Alta,Si
33,Mediano,Agil,Bajo,Baja,No
34,Mediano,Cascada,Medio,Media,No
35,Grande,Cascada,Medio,Media,Si
36,Mediano,Cascada,Bajo,Media,No
37,Grande,Agil,Alto,Baja,No
38,Grande,Cascada,Bajo,Baja,No
39,Pequeño,Hibrida,Medio,Media,Si
40,Grande,Hibrida,Bajo,Baja,No
41,Pequeño,Agil,Medio,Media,No
42,Grande,Hibrida,Medio,Baja,No
43,Grande,Hibrida,Alto,Alta,No
44,Pequeño,Agil,Medio,Alta,Si
45,Pequeño,Cascada,Medio,Media,No
46,Grande,Cascada,Alto,Baja,No
47,Mediano,Cascada,Medio,Baja,Si
48,Pequeño,Agil,Alto,Alta,Si
49,Mediano,Hibrida,Alto,Alta,No
50,Mediano,Cascada,Medio,Baja,No
51,Mediano,Cascada,Medio,Baja,No
52,Pequeño,Agil,Bajo,Baja,No
53,Mediano,Cascada,Alto,Baja,Si
54,Pequeño,Agil,Bajo,Baja,Si
55,Mediano,Hibrida,Medio,Baja,No
56,Grande,Agil,Bajo,Media,No
57,Grande,Agil,Alto,Baja,No
58,Pequeño,Agil,Bajo,Alta,Si
59,Grande,Agil,Alto,Media,Si
60,Grande,Hibrida,Medio,Baja,No
61,Mediano,Hibrida,Medio,Alta,Si
62,Pequeño,Cascada,Alto,Media,Si
63,Mediano,Hibrida,Medio,Alta,Si
64,Mediano,Hibrida,Medio,Baja,Si
65,Mediano,Cascada,Medio,Baja,No
66,Mediano,Hibrida,Medio,Baja,No
67,Mediano,Agil,Alto,Baja,Si
68,Mediano,Agil,Bajo,Media,Si
